id,category,ingredient
156,"['일식', '양식', '채식', '중식', '한식']","['양배추', '시금치', '돼지고기', '깻잎', '레몬', '마늘', '생강', '멸치', '당근', '양파', '오이', '베이컨', '오징어', '딸기', '닭고기', '감자', '쪽파', '파프리카', '쇠고기', '고구마', '가지', '달걀', '치즈', '두부', '대파', '무', '애호박', '우유', '새우', '토마토']"
157,"['일식', '중식', '양식']",['베이컨']
158,['양식'],"['양파', '고구마', '마늘', '쇠고기', '새우', '멸치', '돼지고기', '생강', '오징어', '시금치', '두부', '베이컨']"
159,"['한식', '양식', '채식', '일식']","['대파', '레몬', '베이컨', '멸치']"
160,"['한식', '양식']","['생강', '토마토', '대파', '달걀', '쪽파']"
161,"['양식', '중식', '일식']","['시금치', '양파', '당근', '양배추', '고구마', '오이', '딸기', '돼지고기', '새우', '대파', '달걀', '깻잎', '치즈', '오징어', '두부', '쪽파', '토마토', '파프리카', '멸치', '무', '쇠고기', '감자', '닭고기', '마늘', '가지', '애호박']"
162,"['한식', '중식', '채식']","['달걀', '무', '멸치', '시금치', '딸기', '대파', '새우', '당근', '돼지고기', '애호박', '감자', '치즈']"
163,['중식'],"['대파', '고구마', '양파', '양배추', '딸기', '두부', '당근', '쇠고기']"
164,"['채식', '일식']","['딸기', '닭고기', '두부', '오이', '가지', '대파', '마늘', '시금치', '우유', '무', '멸치', '레몬', '당근', '고구마', '쇠고기', '파프리카', '애호박', '양파', '생강', '새우', '양배추', '오징어']"
165,"['채식', '중식']","['베이컨', '두부']"
166,['중식'],"['딸기', '오징어', '쪽파', '오이', '양파', '쇠고기', '새우', '당근', '무', '감자', '우유', '달걀', '레몬', '돼지고기', '닭고기', '멸치', '치즈', '생강', '베이컨', '애호박', '파프리카']"
167,"['한식', '일식', '양식']","['양파', '애호박', '오이', '당근', '대파', '달걀', '두부', '양배추', '고구마', '시금치', '생강', '닭고기', '감자', '무', '파프리카', '깻잎', '돼지고기', '레몬', '오징어', '가지', '토마토', '새우', '쪽파', '딸기', '마늘', '멸치', '치즈', '우유', '쇠고기', '베이컨']"
168,"['일식', '중식', '한식']","['오이', '애호박', '대파']"
169,"['양식', '채식', '한식']","['베이컨', '멸치', '쇠고기', '당근', '치즈', '우유', '두부', '달걀', '가지', '오징어', '레몬', '감자', '오이', '토마토', '애호박', '새우', '시금치', '깻잎', '양파', '대파', '돼지고기', '파프리카', '양배추', '닭고기', '마늘', '딸기', '고구마', '생강']"
170,"['일식', '채식', '한식', '양식', '중식']","['쇠고기', '마늘', '대파', '감자', '새우', '무', '우유', '달걀', '닭고기', '치즈', '가지', '오징어', '멸치', '토마토', '두부', '오이', '레몬', '애호박', '당근', '깻잎', '양배추', '양파', '시금치', '파프리카', '딸기', '돼지고기']"
171,"['채식', '한식', '양식', '일식']","['당근', '양배추', '생강', '돼지고기', '깻잎', '시금치', '오징어', '대파']"
172,['일식'],"['마늘', '고구마', '생강', '당근', '쇠고기', '우유', '새우', '애호박', '양배추', '딸기', '토마토', '돼지고기', '감자', '멸치', '치즈', '두부', '무', '대파', '시금치', '오징어']"
173,['양식'],"['베이컨', '오이', '쇠고기', '새우', '오징어', '닭고기', '깻잎', '파프리카', '토마토', '시금치', '당근', '두부', '쪽파', '가지', '양파', '고구마', '생강', '무', '딸기', '대파', '레몬', '돼지고기', '양배추', '멸치', '마늘', '애호박', '달걀']"
174,"['일식', '한식', '중식', '채식']","['시금치', '감자', '레몬', '애호박', '양배추', '깻잎', '마늘', '가지', '토마토', '우유', '무', '양파', '멸치', '달걀', '고구마', '오징어', '치즈', '베이컨', '쪽파', '딸기', '닭고기', '생강', '쇠고기', '당근']"
175,"['중식', '일식', '채식', '한식', '양식']","['멸치', '닭고기', '당근', '대파', '시금치', '고구마', '치즈', '양배추', '가지', '양파', '오이', '토마토', '감자', '무', '우유', '레몬', '딸기', '쇠고기', '파프리카']"
176,"['한식', '일식']","['쇠고기', '새우', '애호박', '쪽파', '우유', '돼지고기', '레몬', '파프리카', '마늘', '대파', '닭고기', '토마토', '깻잎', '당근', '시금치', '감자', '양배추', '치즈', '달걀', '오징어', '딸기', '고구마']"
177,"['일식', '양식', '한식', '중식', '채식']","['두부', '쇠고기', '달걀', '시금치', '쪽파', '딸기', '베이컨', '닭고기', '무', '새우', '파프리카', '토마토', '치즈', '멸치', '양파']"
178,"['양식', '일식', '한식', '중식', '채식']","['닭고기', '감자', '쪽파', '생강', '파프리카', '양파', '당근', '달걀', '오징어', '고구마', '무', '대파', '마늘', '치즈', '가지']"
179,['일식'],"['당근', '파프리카', '쇠고기', '양배추', '깻잎', '두부', '대파', '우유', '가지', '쪽파', '레몬', '양파']"
180,"['채식', '일식']","['가지', '레몬', '깻잎', '달걀', '마늘']"
181,['채식'],"['시금치', '쇠고기', '생강', '멸치', '오징어', '달걀', '우유', '깻잎', '가지', '딸기', '새우', '당근', '돼지고기', '양배추', '오이', '고구마', '마늘', '양파', '쪽파', '레몬', '두부', '치즈', '애호박', '파프리카']"
182,"['양식', '채식', '중식', '한식']","['고구마', '오징어', '오이', '무', '쪽파', '치즈', '베이컨', '가지', '우유', '애호박', '딸기', '양배추', '깻잎', '생강', '레몬']"
183,"['일식', '한식', '중식', '양식']","['새우', '우유', '무', '딸기', '대파', '양배추', '생강', '오징어', '마늘', '당근']"
184,"['한식', '채식']","['무', '시금치', '오이', '닭고기', '토마토', '양파', '우유', '마늘', '고구마', '양배추']"
185,"['중식', '채식', '일식', '한식', '양식']","['닭고기', '양배추', '치즈']"
186,"['채식', '중식', '양식']","['대파', '양배추', '돼지고기', '파프리카']"
187,"['중식', '채식', '한식', '양식']","['쪽파', '돼지고기', '애호박', '대파', '새우', '두부', '베이컨', '우유', '마늘', '토마토', '오징어', '양배추', '고구마', '파프리카', '당근', '생강', '딸기', '멸치', '감자', '깻잎', '치즈']"
188,['양식'],"['오징어', '양배추', '애호박', '고구마', '딸기', '치즈', '두부', '당근', '가지', '토마토', '레몬', '쪽파', '우유', '새우', '돼지고기', '오이', '쇠고기', '멸치', '깻잎']"
189,"['일식', '한식']","['시금치', '닭고기', '마늘', '우유', '가지', '베이컨', '감자', '깻잎', '치즈', '달걀', '고구마', '파프리카', '토마토', '생강', '레몬', '쇠고기', '애호박', '대파', '양배추', '당근', '무', '멸치', '오이', '두부', '오징어', '딸기']"
190,['일식'],"['파프리카', '레몬', '쇠고기', '돼지고기', '감자', '닭고기', '베이컨', '대파', '깻잎', '양파', '오징어', '마늘', '쪽파', '치즈', '토마토', '당근']"
191,['중식'],"['양파', '당근', '오이', '감자', '대파']"
192,"['양식', '중식', '일식']","['돼지고기', '우유', '가지', '무', '깻잎', '파프리카', '쪽파', '감자', '고구마', '닭고기', '멸치', '당근', '양배추', '오징어', '새우', '양파', '치즈', '마늘', '딸기', '생강', '레몬', '베이컨', '달걀', '토마토', '애호박', '대파', '쇠고기', '시금치']"
193,"['채식', '한식', '일식', '중식', '양식']","['시금치', '양파', '새우', '대파', '가지', '쪽파', '고구마', '딸기', '레몬', '생강', '치즈', '토마토', '우유', '쇠고기', '당근', '베이컨', '깻잎', '오이', '돼지고기', '감자', '멸치', '달걀', '두부', '마늘', '양배추']"
194,"['일식', '채식']","['달걀', '돼지고기', '시금치', '고구마', '파프리카', '치즈', '양배추']"
195,"['한식', '일식', '중식', '양식', '채식']","['두부', '고구마', '쪽파', '새우', '쇠고기', '우유', '파프리카', '오이', '생강', '레몬', '토마토', '감자']"
196,"['일식', '양식']","['깻잎', '생강', '달걀', '딸기', '고구마', '애호박', '새우', '대파', '가지', '베이컨', '토마토']"
197,"['중식', '한식', '양식']","['멸치', '애호박', '달걀', '토마토', '돼지고기', '쪽파', '시금치', '두부', '오징어', '레몬', '양배추', '닭고기', '생강', '베이컨', '당근', '대파', '무', '치즈', '양파', '고구마', '새우', '가지', '우유', '오이', '쇠고기', '딸기']"
198,"['양식', '중식', '한식', '채식', '일식']","['깻잎', '애호박', '새우', '오징어', '달걀', '우유', '쪽파', '대파', '치즈', '고구마', '시금치', '오이', '베이컨', '가지', '딸기', '감자', '당근', '쇠고기', '파프리카', '무', '마늘', '레몬', '양배추', '토마토', '생강', '멸치', '돼지고기', '닭고기']"
199,"['양식', '한식', '일식', '중식']","['무', '딸기', '우유', '양파', '닭고기', '시금치', '레몬', '돼지고기', '쪽파', '치즈', '두부', '감자', '양배추']"
200,"['한식', '중식', '일식']","['두부', '토마토', '오이', '무']"
201,"['채식', '한식', '일식', '양식', '중식']","['양파', '베이컨', '쇠고기', '무', '시금치', '애호박', '파프리카', '달걀', '감자', '치즈', '두부', '돼지고기', '레몬', '멸치', '쪽파', '토마토', '오징어', '양배추', '딸기', '마늘', '깻잎', '당근', '우유', '새우', '오이', '닭고기', '생강', '가지']"
202,"['일식', '한식']","['가지', '감자', '달걀', '오이', '양배추', '레몬', '깻잎', '양파', '생강', '고구마', '대파', '쪽파', '마늘', '무']"
203,"['양식', '일식', '중식', '한식', '채식']","['두부', '오이', '생강', '마늘', '애호박', '새우', '감자', '베이컨', '달걀', '무', '토마토', '치즈', '고구마', '돼지고기', '우유', '오징어', '쪽파', '멸치', '레몬', '양파', '파프리카', '시금치', '닭고기', '딸기']"
204,['양식'],"['달걀', '감자', '레몬', '우유', '양파', '파프리카', '양배추', '토마토', '가지', '닭고기', '고구마']"
205,['한식'],"['베이컨', '오징어', '두부', '치즈', '양배추', '파프리카', '달걀', '닭고기', '돼지고기', '양파', '딸기', '무', '쪽파', '마늘', '쇠고기', '애호박', '우유', '오이', '당근', '깻잎', '시금치', '레몬', '멸치', '고구마', '생강', '가지', '토마토', '새우']"
206,"['채식', '중식', '일식']","['애호박', '쪽파', '토마토', '당근', '닭고기', '깻잎', '베이컨', '파프리카', '달걀', '오징어', '무', '우유', '생강', '멸치', '돼지고기', '두부', '가지', '양파', '치즈', '레몬', '고구마', '쇠고기', '양배추', '마늘', '딸기', '새우', '대파', '감자']"
207,['양식'],"['닭고기', '대파', '오징어', '양파', '두부', '시금치', '애호박', '레몬']"
208,"['양식', '일식', '한식', '채식', '중식']","['무', '양배추', '멸치', '감자', '양파']"
209,['중식'],"['새우', '멸치', '무', '파프리카', '애호박', '달걀', '마늘', '오징어']"
210,"['일식', '한식', '채식']","['쇠고기', '돼지고기', '가지', '멸치', '레몬', '생강', '고구마', '치즈', '깻잎', '애호박', '닭고기', '시금치', '딸기', '무', '쪽파', '달걀', '대파', '새우', '양배추', '파프리카', '베이컨', '오이', '마늘']"
211,"['일식', '양식', '한식', '중식', '채식']","['쪽파', '깻잎', '시금치', '레몬', '감자', '고구마', '멸치', '달걀', '가지', '대파', '양배추', '새우', '돼지고기', '양파', '두부', '당근', '치즈', '생강', '파프리카']"
212,"['중식', '일식']","['레몬', '달걀', '시금치', '돼지고기', '베이컨', '파프리카', '쪽파', '새우', '양파', '딸기', '쇠고기', '대파', '고구마', '닭고기', '마늘', '오이', '토마토', '감자', '우유', '무', '생강', '치즈', '당근', '애호박']"
213,['채식'],"['파프리카', '오징어', '양파', '양배추', '깻잎', '애호박', '생강', '쇠고기', '레몬', '시금치', '감자', '쪽파', '닭고기', '두부', '가지', '당근', '고구마', '오이', '무', '베이컨', '토마토', '멸치', '마늘', '새우', '딸기', '대파', '우유']"
214,"['채식', '중식', '한식', '일식']",['생강']
215,['채식'],"['무', '시금치', '당근', '애호박', '생강', '파프리카', '돼지고기', '멸치', '양배추', '가지', '마늘', '대파', '두부', '쪽파', '베이컨', '쇠고기', '새우', '달걀', '토마토', '깻잎', '닭고기', '레몬', '감자', '고구마', '오징어']"
216,"['양식', '한식', '일식', '채식', '중식']","['달걀', '오이', '무', '파프리카', '쪽파', '새우', '딸기', '당근', '멸치', '토마토', '양배추', '고구마', '치즈', '쇠고기', '시금치', '돼지고기', '닭고기', '오징어', '레몬', '우유', '베이컨']"
217,"['중식', '일식', '양식']","['쇠고기', '돼지고기', '치즈', '새우', '고구마', '시금치', '감자']"
218,"['한식', '양식', '중식']","['레몬', '우유', '토마토', '감자', '쇠고기', '새우', '오징어', '두부', '깻잎', '멸치', '양파', '양배추', '시금치', '가지', '생강', '베이컨', '딸기', '치즈', '고구마', '달걀', '마늘']"
219,"['중식', '한식', '일식']","['딸기', '당근', '마늘', '애호박']"
220,"['채식', '양식']","['우유', '토마토', '생강', '감자', '새우', '멸치', '오징어', '마늘', '깻잎', '무', '치즈', '당근', '시금치', '닭고기', '두부', '레몬', '가지', '쇠고기', '고구마', '딸기', '달걀', '양배추']"
221,"['채식', '일식', '양식']","['돼지고기', '마늘', '생강', '쪽파', '멸치', '베이컨', '치즈', '우유', '레몬', '애호박', '감자', '고구마', '양배추', '무', '시금치', '두부', '달걀', '당근', '오징어', '새우', '가지', '닭고기']"
222,"['채식', '한식', '일식', '중식']","['새우', '치즈', '닭고기', '대파', '오징어', '무', '시금치', '쪽파', '양파', '쇠고기', '멸치', '레몬', '고구마', '애호박', '마늘', '우유', '달걀', '양배추', '감자', '두부', '당근']"
223,['양식'],"['마늘', '무', '깻잎', '가지', '치즈', '애호박', '닭고기', '우유', '레몬', '양배추', '대파', '시금치', '당근', '토마토', '딸기', '달걀', '쇠고기', '돼지고기', '생강', '두부', '멸치', '고구마', '베이컨', '감자', '오징어', '양파', '쪽파', '새우', '오이', '파프리카']"
224,"['중식', '양식', '일식', '한식', '채식']","['달걀', '두부', '오징어', '오이', '새우', '생강', '무', '고구마', '파프리카', '당근', '닭고기', '마늘', '쇠고기', '대파', '돼지고기', '애호박', '레몬', '양배추', '우유', '베이컨', '쪽파', '깻잎', '딸기', '멸치', '토마토', '시금치', '양파', '가지', '감자', '치즈']"
225,"['한식', '양식']","['마늘', '생강', '베이컨', '토마토', '두부', '깻잎', '쪽파', '무', '닭고기', '쇠고기', '대파', '파프리카', '당근', '치즈', '새우', '우유', '가지', '레몬', '오이', '양배추', '딸기', '고구마']"
226,['한식'],"['감자', '달걀', '대파', '두부', '레몬', '베이컨', '토마토', '쇠고기', '시금치', '돼지고기', '멸치', '고구마', '오이', '깻잎', '쪽파']"
227,"['양식', '일식', '한식']",['양파']
228,"['양식', '채식', '일식']","['고구마', '레몬', '양파', '감자', '쇠고기', '가지', '마늘', '토마토']"
229,"['중식', '채식', '한식', '일식', '양식']","['토마토', '무', '깻잎', '시금치', '돼지고기', '두부', '우유', '멸치', '오이', '고구마', '생강', '당근', '가지', '치즈', '딸기', '닭고기', '애호박', '양배추', '레몬', '대파', '파프리카', '새우', '달걀', '베이컨', '마늘']"
230,"['한식', '중식', '일식', '양식', '채식']","['애호박', '우유', '감자', '닭고기', '오징어', '당근', '양파', '레몬', '쇠고기', '생강', '대파', '멸치']"
231,"['일식', '양식', '한식', '채식', '중식']","['쇠고기', '깻잎', '베이컨', '돼지고기', '새우', '쪽파', '대파', '딸기', '닭고기', '애호박', '양파', '고구마', '마늘']"
232,"['채식', '중식', '한식']","['생강', '양파', '치즈', '닭고기', '대파', '달걀', '멸치', '당근', '돼지고기', '우유']"
233,"['중식', '양식', '일식', '한식', '채식']","['고구마', '무', '양파', '치즈', '멸치', '새우', '두부', '닭고기', '토마토', '마늘', '딸기', '양배추', '레몬', '베이컨', '시금치', '쇠고기', '감자']"
234,"['중식', '일식', '채식', '한식']","['감자', '토마토', '두부', '시금치']"
235,"['일식', '채식', '양식', '한식']","['마늘', '양배추', '레몬', '토마토', '멸치', '당근', '두부', '쪽파', '베이컨', '딸기', '닭고기', '생강', '깻잎', '쇠고기', '대파', '가지']"
236,"['한식', '일식']","['양배추', '딸기', '마늘', '쪽파', '대파', '두부']"
237,"['일식', '채식', '중식', '양식', '한식']","['가지', '생강', '깻잎', '고구마', '파프리카', '감자', '두부', '마늘', '시금치', '달걀', '새우', '애호박', '당근', '토마토', '오이', '쇠고기']"
238,['일식'],"['베이컨', '우유', '깻잎']"
239,"['일식', '중식']","['레몬', '돼지고기', '베이컨', '고구마', '멸치', '오이', '닭고기', '달걀', '우유', '오징어', '새우', '치즈', '쇠고기', '가지', '시금치', '생강', '마늘', '쪽파', '딸기', '깻잎', '감자', '당근', '양배추', '무', '토마토']"
240,['양식'],"['대파', '고구마', '닭고기', '쪽파', '애호박', '감자', '파프리카', '두부', '돼지고기', '우유', '무', '레몬', '마늘', '딸기', '당근', '베이컨', '깻잎', '멸치', '양파', '생강', '토마토', '오이', '달걀', '쇠고기', '오징어']"
241,"['한식', '채식']","['마늘', '치즈', '오이', '오징어', '우유', '딸기', '쇠고기', '가지', '두부', '돼지고기', '파프리카']"
242,"['일식', '양식']","['치즈', '양파', '쪽파', '감자', '멸치', '오이', '대파', '딸기', '가지', '닭고기', '돼지고기', '파프리카', '고구마', '마늘', '쇠고기', '토마토']"
243,['일식'],"['애호박', '닭고기', '토마토', '무', '레몬', '멸치', '고구마', '딸기', '깻잎', '우유', '생강', '치즈', '베이컨', '시금치', '감자', '가지', '양배추', '두부', '대파', '양파', '돼지고기', '쪽파', '오이', '쇠고기', '마늘', '당근', '오징어']"
244,"['중식', '채식']","['당근', '치즈', '오징어', '새우', '쇠고기', '토마토', '마늘', '두부', '양배추', '달걀', '대파', '우유', '오이', '파프리카', '쪽파', '닭고기', '시금치', '딸기', '고구마', '베이컨', '레몬', '감자', '깻잎']"
245,['채식'],"['돼지고기', '토마토', '쇠고기', '마늘', '시금치', '감자', '양배추', '두부', '오징어', '쪽파', '딸기', '생강', '가지', '애호박', '베이컨', '대파', '멸치', '달걀', '우유', '새우', '당근', '고구마', '레몬', '무', '닭고기', '깻잎', '양파', '파프리카', '오이']"
246,['채식'],"['감자', '생강', '돼지고기', '깻잎', '당근']"
247,['일식'],"['쪽파', '당근', '치즈', '오징어', '달걀', '딸기', '대파', '깻잎', '멸치']"
248,"['한식', '양식', '중식', '일식', '채식']","['새우', '파프리카', '레몬', '베이컨']"
249,"['한식', '양식', '중식', '일식']","['딸기', '깻잎', '애호박', '닭고기', '양배추', '가지', '멸치', '무', '대파', '생강', '토마토', '고구마']"
250,['일식'],"['닭고기', '우유', '감자', '양파', '두부', '치즈', '당근', '대파', '깻잎', '쇠고기', '애호박', '쪽파', '시금치', '오징어', '가지', '베이컨', '달걀']"
251,"['양식', '중식', '일식']","['오징어', '딸기', '시금치']"
252,"['양식', '중식', '채식']","['새우', '가지', '쇠고기', '오이', '토마토', '깻잎', '쪽파']"
253,"['채식', '양식', '일식']","['딸기', '고구마', '오이', '쪽파', '치즈', '멸치', '쇠고기', '깻잎', '우유', '양배추', '두부', '레몬', '당근']"
254,"['한식', '양식', '채식']","['새우', '양파', '대파', '애호박', '오이', '생강', '돼지고기', '시금치', '가지', '깻잎', '오징어', '고구마', '멸치', '당근', '감자', '쪽파', '달걀']"
255,"['한식', '채식', '일식', '양식']","['감자', '오징어', '치즈', '새우', '돼지고기', '우유', '양파', '토마토', '베이컨', '파프리카', '가지', '달걀', '멸치', '생강', '깻잎', '닭고기', '두부']"
256,"['양식', '일식', '중식']","['양파', '애호박', '양배추', '마늘', '가지', '달걀', '무', '딸기', '멸치', '베이컨', '쇠고기', '고구마', '쪽파', '생강', '치즈', '오징어', '시금치', '레몬', '토마토', '감자', '돼지고기', '두부', '파프리카', '오이', '우유', '새우', '당근', '깻잎', '닭고기']"
257,"['일식', '중식', '양식']","['베이컨', '마늘', '깻잎', '치즈', '대파', '멸치', '레몬', '양파', '토마토', '쪽파', '닭고기', '양배추', '가지', '감자', '달걀', '두부', '애호박', '오이', '돼지고기', '무']"
258,"['중식', '한식', '양식']","['생강', '우유', '오이', '멸치']"
259,"['중식', '한식', '일식', '양식', '채식']","['대파', '쇠고기', '고구마', '무', '새우', '딸기', '토마토', '오이', '마늘', '오징어', '닭고기', '파프리카', '달걀', '양파', '우유', '멸치', '시금치', '생강', '애호박', '양배추', '돼지고기', '깻잎', '두부', '치즈', '가지']"
260,"['양식', '한식']","['오징어', '감자', '가지', '베이컨']"
261,['일식'],"['애호박', '무', '두부', '멸치', '베이컨']"
262,"['양식', '채식', '중식', '일식']","['가지', '감자', '두부', '양파', '오징어', '파프리카', '멸치']"
263,"['한식', '양식', '일식', '채식']","['파프리카', '애호박', '오이', '베이컨', '우유', '가지', '새우', '감자', '치즈', '쪽파', '달걀', '무']"
264,['양식'],"['양배추', '닭고기', '레몬', '감자', '치즈', '고구마', '양파', '당근', '마늘', '두부', '파프리카', '우유', '오징어', '가지', '대파', '달걀', '돼지고기', '새우', '딸기', '무', '토마토', '오이', '시금치', '애호박', '베이컨', '쇠고기', '멸치', '생강', '쪽파']"
265,['일식'],"['치즈', '감자', '쇠고기', '오징어', '깻잎', '두부', '파프리카', '쪽파', '마늘', '레몬', '시금치', '새우', '양파', '돼지고기', '무', '딸기']"
266,"['일식', '한식', '채식']","['깻잎', '오이', '오징어', '애호박', '레몬', '두부', '멸치', '닭고기', '쪽파', '파프리카', '우유', '당근', '고구마', '딸기', '토마토', '쇠고기', '대파']"
267,"['한식', '채식']","['우유', '토마토', '대파', '파프리카', '당근', '감자', '멸치', '고구마', '애호박', '달걀', '마늘', '레몬', '오징어', '치즈', '오이', '쇠고기', '양배추', '가지', '깻잎', '베이컨', '새우', '돼지고기', '시금치', '두부', '딸기', '생강', '쪽파']"
268,"['채식', '양식', '일식', '중식']","['애호박', '쪽파', '가지', '베이컨', '무', '우유', '오이', '고구마', '마늘', '달걀', '파프리카', '두부', '멸치', '치즈', '돼지고기', '양파', '토마토', '레몬', '당근', '깻잎', '새우', '닭고기', '감자']"
269,"['양식', '채식', '중식', '일식']","['생강', '오이', '닭고기', '토마토', '애호박', '멸치', '베이컨', '양배추', '파프리카', '깻잎', '달걀', '치즈', '우유', '양파', '대파', '쪽파', '시금치', '새우', '당근', '무']"
270,"['채식', '양식']","['쇠고기', '우유', '대파', '생강', '애호박', '감자', '마늘', '쪽파', '깻잎', '파프리카', '돼지고기', '오이', '달걀', '닭고기', '딸기', '무', '토마토']"
271,"['양식', '한식']","['치즈', '당근', '오징어', '생강', '달걀', '오이', '가지', '양파', '양배추', '무', '쇠고기', '새우', '깻잎', '두부', '딸기', '우유', '애호박', '파프리카', '대파', '베이컨', '멸치', '마늘', '돼지고기', '고구마', '쪽파', '시금치', '감자', '닭고기']"
272,"['한식', '중식', '일식', '채식']","['깻잎', '감자', '베이컨', '치즈', '시금치', '돼지고기', '우유', '쇠고기']"
273,"['한식', '채식', '양식']","['우유', '멸치', '시금치', '마늘', '딸기', '쪽파', '생강', '가지', '애호박', '토마토', '돼지고기', '베이컨', '두부', '레몬', '무', '치즈', '오이', '파프리카', '고구마', '새우', '양배추', '당근', '양파', '깻잎']"
274,"['양식', '채식', '한식']","['딸기', '시금치', '오이', '당근', '토마토', '양배추', '돼지고기', '마늘', '파프리카', '고구마', '새우', '가지']"
275,['채식'],"['달걀', '대파', '가지']"
276,"['한식', '중식', '일식', '양식', '채식']","['깻잎', '대파', '쪽파', '오징어', '우유', '두부', '달걀', '쇠고기', '멸치']"
277,"['양식', '중식', '채식']",['오징어']
278,['한식'],"['시금치', '치즈', '딸기', '레몬', '고구마', '양배추', '오징어', '파프리카', '오이', '당근', '무', '애호박', '우유', '대파', '쪽파']"
279,"['양식', '채식', '일식']","['파프리카', '새우', '레몬', '두부', '마늘', '우유', '가지', '대파', '토마토', '깻잎']"
280,"['양식', '채식']","['새우', '무', '고구마', '토마토', '가지', '양파', '대파', '베이컨', '생강', '돼지고기', '시금치', '양배추', '쪽파', '마늘', '깻잎', '치즈', '닭고기', '파프리카', '우유', '애호박', '달걀']"
281,"['한식', '채식', '양식']","['양배추', '쪽파', '치즈', '오징어', '달걀', '대파', '토마토', '오이', '마늘', '양파', '베이컨', '쇠고기', '파프리카', '당근', '깻잎', '새우', '레몬', '두부', '시금치', '고구마', '가지', '멸치', '감자', '돼지고기', '애호박', '우유', '닭고기', '무', '딸기']"
282,"['채식', '중식', '일식', '양식']","['마늘', '딸기', '대파', '가지', '두부', '달걀', '쇠고기']"
283,"['채식', '중식']","['쪽파', '당근', '돼지고기', '가지', '시금치', '토마토', '양배추', '생강', '달걀', '대파', '딸기', '양파', '우유', '무', '파프리카']"
284,"['한식', '일식', '양식']","['애호박', '가지', '감자', '오징어', '멸치', '깻잎', '양배추', '새우', '돼지고기', '우유', '무', '두부', '닭고기', '쇠고기', '레몬', '당근', '시금치', '쪽파', '파프리카', '딸기', '마늘']"
285,"['채식', '일식', '중식']","['대파', '시금치', '감자', '멸치', '당근', '깻잎', '돼지고기', '애호박', '오징어', '마늘', '가지', '토마토', '우유', '레몬', '파프리카', '딸기', '두부', '달걀', '닭고기']"
286,"['일식', '양식', '한식']","['당근', '우유', '두부', '생강', '달걀', '베이컨', '가지', '감자', '대파', '오이', '새우', '시금치', '쪽파', '무', '딸기', '돼지고기', '고구마', '오징어', '닭고기', '양배추', '토마토', '쇠고기', '깻잎', '파프리카', '마늘']"
287,['중식'],"['멸치', '당근', '우유']"
288,"['일식', '양식', '중식', '채식']","['돼지고기', '대파']"
289,"['채식', '일식', '중식', '양식', '한식']","['달걀', '오징어', '가지', '양배추', '멸치', '치즈', '감자', '마늘', '새우', '양파', '두부', '돼지고기', '시금치', '딸기']"
290,"['양식', '채식', '한식', '중식']","['양파', '생강', '딸기']"
291,['채식'],"['파프리카', '깻잎', '닭고기', '양배추', '무', '치즈', '달걀', '쪽파', '새우']"
292,"['채식', '일식']","['두부', '토마토', '가지', '당근', '감자', '마늘', '닭고기', '오이', '베이컨', '양파', '오징어', '멸치', '애호박', '고구마', '대파', '우유']"
293,['양식'],"['토마토', '감자', '고구마', '치즈', '가지', '시금치', '베이컨', '애호박', '파프리카', '당근', '오징어', '두부', '돼지고기', '대파', '생강', '깻잎', '오이', '멸치', '달걀', '무', '우유', '양파', '새우', '쪽파', '딸기', '양배추', '쇠고기', '마늘']"
294,"['양식', '중식', '채식', '한식', '일식']","['무', '멸치', '치즈']"
295,"['한식', '양식', '중식']","['고구마', '당근', '두부', '파프리카', '새우', '돼지고기', '멸치', '쇠고기', '토마토', '대파']"
296,"['중식', '한식', '일식', '양식', '채식']","['무', '고구마', '양파', '양배추', '닭고기', '시금치', '대파', '오이', '토마토', '멸치', '가지', '당근', '돼지고기', '오징어', '마늘', '레몬', '애호박', '우유', '파프리카', '베이컨', '감자', '달걀', '깻잎', '딸기', '생강']"
297,"['중식', '일식']","['가지', '당근', '고구마', '새우', '시금치', '딸기', '달걀', '양배추', '치즈', '감자', '생강', '무', '쪽파', '깻잎', '대파', '마늘', '베이컨', '돼지고기', '토마토', '애호박']"
298,['채식'],"['당근', '애호박', '달걀', '레몬', '오이', '새우', '우유', '쪽파', '깻잎', '시금치', '베이컨', '닭고기', '고구마', '대파', '오징어', '딸기', '두부', '무', '양배추', '생강']"
299,"['채식', '한식']","['우유', '고구마', '가지', '오이', '레몬', '딸기', '애호박', '감자', '시금치', '새우', '쇠고기', '당근', '달걀', '멸치', '오징어', '깻잎', '쪽파', '파프리카', '양파', '양배추', '돼지고기', '무', '치즈', '닭고기', '마늘', '대파', '두부', '토마토']"
300,"['채식', '양식', '일식', '중식', '한식']","['감자', '파프리카', '베이컨', '무', '생강', '토마토', '깻잎', '대파', '마늘', '닭고기', '오이', '고구마', '달걀', '애호박', '양배추', '두부', '레몬']"
301,"['중식', '채식']","['고구마', '대파', '무', '마늘', '생강', '치즈', '달걀', '깻잎', '두부', '레몬', '새우', '양파', '양배추', '쪽파', '당근', '오징어', '멸치', '애호박', '가지', '토마토', '베이컨', '딸기']"
302,"['일식', '한식', '양식']","['감자', '당근', '파프리카', '레몬', '깻잎', '토마토', '시금치', '마늘', '오이', '오징어', '딸기', '고구마', '생강', '대파', '우유', '양파', '닭고기', '두부', '돼지고기']"
